GRADATION,SOURCE,BINDER,DAG,AV,PS avg
26.5,24,822.0529,5.82,6.917,3.185832
26.5,24,822.0529,5.82,5.415,2.727138
26.5,24,822.0529,5.82,4.039,1.890634
26.5,24,822.0529,5.82,3.424,1.538691
26.5,24,822.0529,5.82,2.891,1.42038
26.5,24,1415.147,5.27,6.865,2.10294
26.5,24,1415.147,5.27,5.341,1.861824
26.5,24,1415.147,5.27,4.033,1.24722
26.5,24,1415.147,5.27,3.455,1.093787
26.5,24,1415.147,5.27,2.87,0.911489
26.5,24,1415.147,5.79,6.787,2.958466
26.5,24,1415.147,5.79,5.254,2.068693
26.5,24,1415.147,5.79,4.027,1.642894
26.5,24,1415.147,5.79,3.402,1.36656
26.5,24,1415.147,5.79,2.859,1.471634
26.5,24,1415.147,4.71,6.913,1.598047
26.5,24,1415.147,4.71,5.42,1.425943
26.5,24,1415.147,4.71,4.052,1.274382
26.5,24,1415.147,4.71,3.528,1.227582
26.5,24,1415.147,4.71,2.285,0.717665
26.5,24,1415.147,4.75,6.887,1.757852
26.5,24,1415.147,4.75,5.377,1.625289
26.5,24,1415.147,4.75,4.037,1.501399
26.5,24,1415.147,4.75,3.464,1.023765
26.5,24,1415.147,4.75,2.386,0.775078
26.5,24,1415.147,5.82,6.889,3.296049
26.5,24,1415.147,5.82,5.389,2.636839
26.5,24,1415.147,5.82,4.014,1.807184
26.5,24,1415.147,5.82,3.488,1.584288
26.5,24,1415.147,5.82,2.911,1.52217
26.5,24,3321.791,5.27,6.939,1.992293
26.5,24,3321.791,5.27,5.382,1.643411
26.5,24,3321.791,5.27,4.037,1.344867
26.5,24,3321.791,5.27,3.505,1.057109
26.5,24,3321.791,5.27,2.878,0.847647
26.5,24,3321.791,5.79,6.829,2.518137
26.5,24,3321.791,5.79,5.302,2.160187
26.5,24,3321.791,5.79,4.079,1.620534
26.5,24,3321.791,5.79,3.411,1.379721
26.5,24,3321.791,5.79,2.869,1.044208
26.5,24,3321.791,4.71,7.056,1.368605
26.5,24,3321.791,4.71,5.474,0.994401
26.5,24,3321.791,4.71,4.012,1.024147
26.5,24,3321.791,4.71,3.573,0.920271
26.5,24,3321.791,4.71,2.233,0.693249
26.5,24,3321.791,4.75,6.965,1.521584
26.5,24,3321.791,4.75,5.422,1.438639
26.5,24,3321.791,4.75,4.047,1.306892
26.5,24,3321.791,4.75,3.52,0.803687
26.5,24,3321.791,4.75,2.899,0.672716
26.5,24,3321.791,5.82,7.038,3.134028
26.5,24,3321.791,5.82,5.464,2.68749
26.5,24,3321.791,5.82,4.009,1.525089
26.5,24,3321.791,5.82,3.529,1.299327
26.5,24,3321.791,5.82,2.911,1.173924
